time, x, y, heading, vel_x, vel_y, vel_heading,
0.704, -5.67633e-10, -4.41073e-08, 1.22376e-05, -6.9145e-14, 1.70228e-14, -1.16249e-13, 
0.712, -5.67632e-10, -4.41073e-08, 1.22376e-05, 7.63007e-14, 2.2846e-14, -5.62104e-13, 
0.72, -5.67633e-10, -4.41073e-08, 1.22376e-05, -5.96311e-14, 8.5724e-15, 8.33607e-15, 
0.728, -5.67632e-10, -4.41073e-08, 1.22376e-05, 6.71799e-14, 1.71929e-14, -4.30381e-13, 
0.736, -5.67633e-10, -4.41073e-08, 1.22376e-05, -5.17571e-14, 3.51963e-15, 8.13344e-14, 
0.744, -5.67632e-10, -4.41073e-08, 1.22376e-05, 5.88857e-14, 1.28124e-14, -3.42294e-13, 
0.752, -5.67633e-10, -4.41073e-08, 1.22376e-05, -4.46691e-14, 6.40992e-16, 1.22715e-13, 
0.76, -5.67632e-10, -4.41073e-08, 1.22376e-05, 5.20146e-14, 9.7629e-15, -2.84018e-13, 
0.768, -5.67632e-10, -4.41073e-08, 1.22376e-05, -3.77709e-14, -1.22439e-15, 1.42418e-13, 
0.776, -5.67632e-10, -4.41073e-08, 1.22376e-05, 4.66749e-14, 8.42226e-15, -2.44335e-13, 
0.784, -5.67632e-10, -4.41073e-08, 1.22376e-05, -3.19569e-14, -3.31571e-15, 1.54393e-13, 
0.792, -5.67632e-10, -4.41073e-08, 1.22376e-05, 4.08744e-14, 7.41366e-15, -2.13786e-13, 
0.8, -5.67632e-10, -4.41073e-08, 1.22376e-05, -2.76065e-14, -3.49782e-15, 1.57836e-13, 
0.808, -5.67632e-10, -4.41073e-08, 1.22376e-05, 3.61717e-14, 6.93402e-15, -1.94666e-13, 
0.816, -5.67632e-10, -4.41073e-08, 1.22376e-05, -2.34459e-14, -4.68007e-15, 1.5781e-13, 
0.824, -5.67632e-10, -4.41073e-08, 1.22376e-05, 3.24041e-14, 5.9701e-15, -1.80433e-13, 
0.832, -5.67632e-10, -4.41073e-08, 1.22376e-05, -1.93124e-14, -5.03011e-15, 1.55263e-13, 
0.84, -5.67632e-10, -4.41073e-08, 1.22376e-05, 2.82841e-14, 6.31675e-15, -1.67579e-13, 
0.848, -5.67632e-10, -4.41073e-08, 1.22376e-05, -1.58022e-14, -5.39624e-15, 1.51463e-13, 
0.856, -5.67632e-10, -4.41073e-08, 1.22376e-05, 2.5926e-14, 6.24941e-15, -1.59049e-13, 
0.864, -5.67632e-10, -4.41073e-08, 1.22376e-05, -1.3417e-14, -4.47424e-15, 1.48337e-13, 
0.872, -5.67632e-10, -4.41073e-08, 1.22376e-05, 2.30664e-14, 5.61117e-15, -1.52079e-13, 
0.88, -5.67632e-10, -4.41073e-08, 1.22376e-05, -1.09369e-14, -5.37442e-15, 1.44653e-13, 
0.888, -5.67632e-10, -4.41073e-08, 1.22376e-05, 2.07896e-14, 5.97391e-15, -1.46015e-13, 
0.896, -5.67632e-10, -4.41073e-08, 1.22376e-05, -7.71139e-15, -5.6766e-15, 1.3994e-13, 
0.904, -5.67631e-10, -4.41073e-08, 1.22376e-05, 1.82959e-14, 5.33525e-15, -1.39588e-13, 
0.912, -5.67632e-10, -4.41073e-08, 1.22376e-05, -6.92534e-15, -5.39772e-15, 1.37311e-13, 
0.92, -5.67631e-10, -4.41073e-08, 1.22376e-05, 1.72117e-14, 6.00631e-15, -1.38162e-13, 
0.928, -5.67631e-10, -4.41073e-08, 1.22376e-05, -5.17707e-15, -5.58131e-15, 1.34623e-13, 
0.936, -5.67631e-10, -4.41073e-08, 1.22376e-05, 1.4962e-14, 5.74966e-15, -1.32628e-13, 
0.944, -5.67631e-10, -4.41073e-08, 1.22376e-05, -3.86247e-15, -5.58406e-15, 1.31478e-13, 
0.952, -5.67631e-10, -4.41073e-08, 1.22376e-05, 1.4054e-14, 5.08072e-15, -1.30845e-13, 
0.96, -5.67631e-10, -4.41073e-08, 1.22376e-05, -2.57498e-15, -5.38649e-15, 1.28364e-13, 
0.968, -5.67631e-10, -4.41073e-08, 1.22376e-05, 1.30511e-14, 4.63496e-15, -1.28838e-13, 
0.976, -5.67631e-10, -4.41073e-08, 1.22376e-05, -1.58565e-15, -5.42906e-15, 1.27377e-13, 
0.984, -5.67631e-10, -4.41073e-08, 1.22376e-05, 1.175e-14, 5.54595e-15, -1.26101e-13, 
0.992, -5.67631e-10, -4.41073e-08, 1.22376e-05, -5.69206e-16, -5.57538e-15, 1.24369e-13, 
1, -5.67631e-10, -4.41073e-08, 1.22376e-05, 1.11402e-14, 6.0188e-15, -1.25212e-13, 
1.008, -5.67631e-10, -4.41073e-08, 1.22376e-05, 2.30393e-16, -5.09617e-15, 1.24125e-13, 
1.016, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.024, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.032, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.04, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.048, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.056, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.064, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.072, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.08, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.088, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.096, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.104, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.112, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.12, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.128, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.136, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.144, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.152, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.16, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.168, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.176, -5.67631e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
